trial,THR_OPEN_5000,THR_OPEN_5100,THR_OPEN_5200,THR_OPEN_5300,THR_OPEN_5400,THR_OPEN_5500,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
70,1.3538,0.3741,0.5112,1.1445,0.5373,0.3261,14598,3022,11816,17620,11816,29436,35.95,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,570,1456,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
71,1.2818,0.7481,1.2269,0.3638,0.7236,1.0908,14598,3058,12298,17656,12298,29954,36.72,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,627,1938,161,811,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
72,0.2231,0.4612,1.0871,1.3848,1.4589,0.35,14675,2932,12292,17607,12292,29898,41.75,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1932,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
73,0.8574,1.1856,0.8536,1.0914,0.4457,0.2917,14675,2982,12365,17657,12365,30022,35.87,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
74,0.338,0.2487,0.9172,0.8693,0.9394,0.3905,14675,2950,12323,17625,12323,29948,34.61,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1963,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
75,0.4399,0.4651,1.2923,1.4874,1.405,0.3238,14675,2932,12312,17607,12312,29918,36.51,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
76,0.2805,1.4369,0.8007,1.1941,0.6249,0.807,14675,2950,12292,17625,12292,29916,34.09,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1932,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
77,0.8699,0.7591,0.9812,0.2172,1.1113,1.2975,14675,2962,12365,17637,12365,30002,36.33,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
78,0.4356,0.7901,1.1611,0.7269,0.4537,0.4146,,,,,,,9751.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.8663,0.22,1.3611,1.2422,1.1161,1.319,14675,2964,12365,17639,12365,30004,24.53,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
80,1.0182,0.7259,0.9795,0.8556,1.4775,1.2463,14675,3026,12283,17701,12283,29984,19.3,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
